ga,date_range,john_contents,other_contents,holding,city,status
P2,500-600,"12:12-15","Luke 7:22-26, 50 (Coptic)",National Archaeological Museum,Florence,draft
P5,200-300,"1:23-31, 33-40; 16:14-30; 20:19-20, 22-25",,British Library,London,draft
P6,300-400,"10:1-2, 4-7, 9-10; 11:1-8, 45-52 (Greek)",Greek-Coptic bilingual,National and University Library,Strasbourg,draft
P22,200-300,"15:25-16:3; 16:21-32",,Glasgow University Library,Glasgow,draft
P28,200-300,"6:8-12, 17-22",,Palestine Institute Museum,Berkeley,draft
P36,500-600,"3:14-18, 31-32, 34-35",,Laurentian Library,Florence,draft
P39,200-300,"8:14-21",,Museum of the Bible,"Washington, DC",draft
P44,500-700,"10:8-14","Matthew 17:1-3, 6-7; 18:15-17, 19; 25:8-10",Metropolitan Museum of Art,New York,draft - date and holding need checking
P45,c. 250,"4:51-54 and more (fragmentary; chs. 4-5, 10-11)","Matthew, Mark, Luke, Acts",Chester Beatty Library,Dublin,draft - full John ranges needed
P52,100-225,"18:31-33, 37-38",,John Rylands Library,Manchester,in v0.2 page
P55,500-700,"1:31-33, 35-38",,Austrian National Library,Vienna,draft
P59,600-700,"1:26, 28, 48, 51; 2:15-16; 11:40-52 and more",,Morgan Library,New York,draft - full ranges needed
P60,600-700,"16:29-19:26 (fragments)",,Morgan Library,New York,in v0.2 page
P63,500-525,"3:14-18; 4:9-10",,Berlin State Museums,Berlin,draft
P66,c. 200 (debated to 4th c.),"1:1-5:3a; 5:5-6:11; 6:35b-7:52; 8:12-14:26, 29-30; 15:2-26; 16:2-4, 6-7; 16:10-20:20, 22-23; 20:25-21:9, 12, 17",,Fondation Martin Bodmer,Cologny,in v0.2 page
P75,200-225 (debated),"1:1-5:3a; 5:5-7:52; 8:12-11:45, 48-57; 12:3-13:19; 14:8-15:10","Luke (large parts)",Vatican Library,Vatican City,draft
P76,500-600,"4:9, 12",,Austrian National Library,Vienna,draft
P80,200-300,"3:34",,Montserrat Abbey,Barcelona,draft
P84,500-600,"5:5; 17:3, 7-8","Mark 2:2-5 and more",Catholic University of Leuven,Leuven,draft
P90,150-200,"18:36-19:7",,Sackler Library (P.Oxy.),Oxford,draft
P93,400-500,"13:15-17",,Istituto Papirologico G. Vitelli,Florence,draft
P95,200-300,"5:26-29, 36-38",,Laurentian Library,Florence,draft
P106,200-300,"1:29-35, 40-46",,Sackler Library (P.Oxy.),Oxford,draft
P107,200-300,"17:1-2, 11",,Sackler Library (P.Oxy.),Oxford,draft
P108,200-300,"17:23-24; 18:1-5",,Sackler Library (P.Oxy.),Oxford,draft
P109,200-300,"21:18-20, 23-25",,Sackler Library (P.Oxy.),Oxford,draft
P119,200-300,"1:21-28, 38-44",,Sackler Library (P.Oxy.),Oxford,draft
P120,300-400,"1:25-28, 33-38, 42-44",,Sackler Library (P.Oxy.),Oxford,draft
P121,200-300,"19:17-18, 25-26",,Sackler Library (P.Oxy.),Oxford,draft
P122,300-500,"21:11-14, 22-24",,Sackler Library (P.Oxy.),Oxford,draft
P128,500-700,"9:3-4; 12:16-18",,Metropolitan Museum of Art,New York,draft
P134,200-400,"1:49-2:1",,Harry Ransom Center,Austin,draft
